zipcode,Station_Name,Corner,Latitude,Longitude
10002,Essex St,NE,40.71841,-73.987181
10002,Essex St,NW,40.718551,-73.98765
10002,Bowery,SE,40.719977,-73.993576
10002,Bowery,NE,40.720291,-73.993411
10002,Grand St,NE,40.718155,-73.993452
10002,Grand St,NE,40.718191,-73.993577
10002,Grand St,NW,40.718265,-73.993877
10002,2nd Av,SW,40.722807,-73.988942
10002,2nd Av,NW,40.7232,-73.988863
10002,Delancey St,NW,40.718781,-73.988233
10002,Delancey St,NE,40.718778,-73.987961
10002,East Broadway,NW,40.712727,-73.990126
10002,Spring St,SE,40.722116,-73.996912
10002,Spring St,NE,40.722235,-73.996818
10002,2nd Av,NW,40.72395,-73.991298
10002,2nd Av,SW,40.723665,-73.991651
10002,Delancey St,SW,40.718372,-73.988445
10002,Delancey St,SE,40.718207,-73.988273
10002,East Broadway,SE,40.713906,-73.990014
10002,East Broadway,NW,40.714194,-73.990352
10002,East Broadway,NE,40.714404,-73.989918
10002,Spring St,NW,40.722468,-73.997397
10002,Spring St,SW,40.72239,-73.997437
zipcode,Station_Name,Corner,Latitude,Longitude
10021,Roosevelt Island,SE,40.759016,-73.953505
10021,Lexington Av,NW,40.764884,-73.966514
10021,Lexington Av,NW,40.764874,-73.966431
10021,Lexington Av,NW,40.764881,-73.966411
10021,Lexington Av,SW,40.764721,-73.966552
10021,Lexington Av,NW,40.764866,-73.966422
10021,77th St,SW,40.773669,-73.960135
10021,77th St,NW,40.773779,-73.959954
10021,77th St,NW,40.773779,-73.960041
10021,77th St,SW,40.773636,-73.96006
10021,68th St-Hunter College,SW,40.76787,-73.964244
10021,68th St-Hunter College,SW,40.767817,-73.964355
10021,68th St-Hunter College,SE,40.767703,-73.963979
10021,68th St-Hunter College,NW,40.767981,-73.964178
10021,68th St-Hunter College,NE,40.767863,-73.963898
10021,59th St,SW,40.762836,-73.96804
10021,Lexington Av,SW,40.762092,-73.96634
10021,Lexington Av,NW,40.762353,-73.966155
10021,Lexington Av,SE,40.761996,-73.966105
10021,Lexington Av,NE,40.762255,-73.965918
10021,77th St,SE,40.773526,-73.959734
10021,77th St,NE,40.773631,-73.959659
10021,77th St,SE,40.773493,-73.959659
10021,77th St,NE,40.773603,-73.959578
10021,59th St,SE,40.76266,-73.967625
10021,59th St,NW,40.762414,-73.968371
10021,59th St,NE,40.762835,-73.967554
10021,59th St,SE,40.762069,-73.968016
10021,59th St,NW,40.762986,-73.96785
zipcode,Station_Name,Corner,Latitude,Longitude
10035,Brook Av,NW,40.807747,-73.919347
10035,Brook Av,NE,40.80758,-73.918957
10035,125th St,NE,40.804407,-73.937234
10035,125th St,SW,40.804251,-73.937658
10035,125th St,SE,40.804164,-73.937444
10035,125th St,NW,40.804597,-73.9374
10035,125th St,NE,40.804517,-73.937186
10035,116th St,SW,40.798466,-73.941882
10035,116th St,NW,40.798852,-73.9416
10035,110th St,SW,40.794804,-73.944613
10035,110th St,NW,40.794927,-73.944502
10035,125th St,SW,40.807681,-73.945752
10035,125th St,NW,40.807995,-73.945524
10035,Cypress Av,SW,40.805171,-73.913933
10035,Brook Av,SW,40.807467,-73.919448
10035,Brook Av,SE,40.807355,-73.919219
10035,116th St,SE,40.798404,-73.941647
10035,116th St,NE,40.798742,-73.941406
10035,110th St,SE,40.794682,-73.944319
10035,110th St,NE,40.794811,-73.944235
10035,125th St,SE,40.807548,-73.945463
10035,125th St,NE,40.807875,-73.945229
zipcode,Station_Name,Corner,Latitude,Longitude
10004,Rector St,SE,40.707647,-74.012924
10004,Rector St,NE,40.707902,-74.012774
10004,Rector St,NE,40.708028,-74.012696
10004,Whitehall St,,40.701938,-74.012588
10004,Whitehall St,,40.702108,-74.012642
10004,Whitehall St,,40.702108,-74.012642
10004,Rector St,NE,40.708107,-74.013445
10004,Wall St,NW,40.706506,-74.009544
10004,Wall St,NE,40.706392,-74.009332
10004,Wall St,SE,40.70719,-74.011997
10004,Wall St,SE,40.707446,-74.011848
10004,Wall St,SE,40.707577,-74.011731
10004,Bowling Green,SW,40.704659,-74.01392
10004,Bowling Green,NW,40.704629,-74.013502
10004,South Ferry,,40.702033,-74.013149
10004,South Ferry,,40.702033,-74.013149
10004,South Ferry,,40.701961,-74.013397
10004,South Ferry,,40.701961,-74.013397
10004,Rector St,NE,40.706345,-74.014
10004,Rector St,SW,40.707495,-74.013273
10004,Rector St,SW,40.707659,-74.013166
10004,Rector St,NW,40.70795,-74.012963
10004,Rector St,NW,40.708083,-74.012863
10004,Rector St,NW,40.707225,-74.013454
10004,Whitehall St,,40.704015,-74.013284
